province,zone,no,score 
ชัยภูมิ,6,16,689
ชัยภูมิ,6,35,614
ชัยภูมิ,6,22,548
ชัยภูมิ,6,31,455
ชัยภูมิ,6,27,411
ชัยภูมิ,6,12,290
ชัยภูมิ,6,21,239
ชัยภูมิ,6,5,220
ชัยภูมิ,6,24,212
ชัยภูมิ,6,26,209
ชัยภูมิ,6,8,198
ชัยภูมิ,6,13,198
ชัยภูมิ,6,17,175
ชัยภูมิ,6,3,170
ชัยภูมิ,6,18,150
ชัยภูมิ,6,25,123
ชัยภูมิ,6,30,116
ชัยภูมิ,6,4,108
ชัยภูมิ,6,33,97
ชัยภูมิ,6,37,79
ชัยภูมิ,6,6,73
ชัยภูมิ,6,20,68
ชัยภูมิ,6,23,59
ชัยภูมิ,6,9,56
ชัยภูมิ,6,34,50
ชัยภูมิ,6,36,49
ชัยภูมิ,6,29,26
ชัยภูมิ,6,7,0
ชัยภูมิ,6,28,0
ชัยภูมิ,6,32,0
ชลบุรี,1,6,38268
ชลบุรี,1,8,27430
ชลบุรี,1,10,14877
ชลบุรี,1,3,8362
ชลบุรี,1,1,8266
ชลบุรี,1,4,5327
ชลบุรี,1,7,5199
ชลบุรี,1,5,624
ชลบุรี,1,16,436
ชลบุรี,1,2,399
ชลบุรี,1,13,388
ชลบุรี,1,12,296
ชลบุรี,1,9,250
ชลบุรี,1,20,209
ชลบุรี,1,15,178
ชลบุรี,1,17,162
ชลบุรี,1,19,160
ชลบุรี,1,26,149
ชลบุรี,1,23,130
ชลบุรี,1,21,111
ชลบุรี,1,14,109
ชลบุรี,1,18,84
ชลบุรี,1,25,54
ชลบุรี,1,22,49
ชลบุรี,2,5,42427
ชลบุรี,2,6,21147
ชลบุรี,2,9,20853
ชลบุรี,2,4,11102
ชลบุรี,2,7,6020
ชลบุรี,2,16,2903
ชลบุรี,2,2,2707
ชลบุรี,2,1,485
ชลบุรี,2,18,311
ชลบุรี,2,8,302
ชลบุรี,2,3,235
ชลบุรี,2,14,216
ชลบุรี,2,11,159
ชลบุรี,2,25,140
ชลบุรี,2,19,108
ชลบุรี,2,22,107
ชลบุรี,2,23,107
ชลบุรี,2,17,96
ชลบุรี,2,21,78
ชลบุรี,2,15,69
ชลบุรี,2,13,63
ชลบุรี,2,12,50
ชลบุรี,2,20,19
ชลบุรี,3,8,54644
ชลบุรี,3,7,15038
ชลบุรี,3,9,13815
ชลบุรี,3,3,10025
ชลบุรี,3,4,5458
ชลบุรี,3,5,2422
ชลบุรี,3,17,1623
ชลบุรี,3,28,534
ชลบุรี,3,19,344
ชลบุรี,3,6,306
ชลบุรี,3,2,263
ชลบุรี,3,13,215
ชลบุรี,3,1,176
ชลบุรี,3,21,165
ชลบุรี,3,24,124
ชลบุรี,3,22,109
ชลบุรี,3,27,109
ชลบุรี,3,15,103
ชลบุรี,3,10,97
ชลบุรี,3,25,80
ชลบุรี,3,14,74
ชลบุรี,3,23,74
ชลบุรี,3,11,67
ชลบุรี,3,16,66
ชลบุรี,3,18,64
ชลบุรี,3,26,32
ชลบุรี,3,20,29
ชลบุรี,4,1,31261
ชลบุรี,4,12,21021
ชลบุรี,4,10,14732
ชลบุรี,4,2,10940
ชลบุรี,4,7,9426
ชลบุรี,4,17,1933
ชลบุรี,4,5,1685
ชลบุรี,4,21,938
ชลบุรี,4,19,407
ชลบุรี,4,3,327
ชลบุรี,4,6,248
ชลบุรี,4,8,224
ชลบุรี,4,11,208
ชลบุรี,4,9,160
ชลบุรี,4,4,133
ชลบุรี,4,22,133
ชลบุรี,4,13,118
ชลบุรี,4,24,96
ชลบุรี,4,14,83
ชลบุรี,4,26,76
ชลบุรี,4,25,64
ชลบุรี,4,23,59
ชลบุรี,4,20,54
ชลบุรี,4,15,53
ชลบุรี,4,16,52
ชลบุรี,4,18,38
ชลบุรี,5,3,43284
ชลบุรี,5,5,38321
ชลบุรี,5,2,9696
ชลบุรี,5,8,7591
ชลบุรี,5,10,4346
ชลบุรี,5,7,1722
ชลบุรี,5,14,1604
ชลบุรี,5,15,1103
ชลบุรี,5,4,745
ชลบุรี,5,18,558
ชลบุรี,5,6,530
ชลบุรี,5,9,517
ชลบุรี,5,17,373
ชลบุรี,5,13,331
ชลบุรี,5,16,169
ชลบุรี,5,20,109
ชลบุรี,5,26,103
ชลบุรี,5,23,100
ชลบุรี,5,22,79
ชลบุรี,5,24,78
ชลบุรี,5,12,76
ชลบุรี,5,19,61
ชลบุรี,5,11,54
ชลบุรี,6,5,39189
ชลบุรี,6,4,33440
ชลบุรี,6,6,7155
ชลบุรี,6,2,6582
ชลบุรี,6,1,4345
ชลบุรี,6,16,2933
ชลบุรี,6,3,719
ชลบุรี,6,18,580
ชลบุรี,6,9,414
ชลบุรี,6,19,362
ชลบุรี,6,10,345
ชลบุรี,6,24,292
ชลบุรี,6,12,215
ชลบุรี,6,17,212
ชลบุรี,6,13,157
ชลบุรี,6,27,118
ชลบุรี,6,11,107
ชลบุรี,6,23,104
ชลบุรี,6,15,94
ชลบุรี,6,7,89
ชลบุรี,6,22,88
ชลบุรี,6,25,75
ชลบุรี,6,21,66
ชลบุรี,6,29,61
ชลบุรี,6,28,49
ชลบุรี,6,26,45
ชลบุรี,6,20,38
ชลบุรี,7,13,31247
ชลบุรี,7,6,28001
ชลบุรี,7,5,7708
ชลบุรี,7,11,6946
ชลบุรี,7,8,5243
ชลบุรี,7,16,2256
ชลบุรี,7,15,1383
ชลบุรี,7,1,690
ชลบุรี,7,4,670
ชลบุรี,7,10,336
ชลบุรี,7,17,289
ชลบุรี,7,23,273
ชลบุรี,7,14,259
ชลบุรี,7,12,244
ชลบุรี,7,7,229
ชลบุรี,7,2,164
ชลบุรี,7,20,148
ชลบุรี,7,19,137
ชลบุรี,7,9,136
ชลบุรี,7,26,129
ชลบุรี,7,21,117
ชลบุรี,7,24,115
ชลบุรี,7,22,104
ชลบุรี,7,18,64
ชลบุรี,7,25,55
ชลบุรี,8,8,33967
ชลบุรี,8,11,25874
ชลบุรี,8,4,5865
ชลบุรี,8,2,5755
ชลบุรี,8,7,2998
ชลบุรี,8,15,2518
ชลบุรี,8,13,2313
ชลบุรี,8,1,489
ชลบุรี,8,10,389
ชลบุรี,8,21,353
ชลบุรี,8,16,332
ชลบุรี,8,9,322
ชลบุรี,8,12,276
ชลบุรี,8,24,170
ชลบุรี,8,5,163
ชลบุรี,8,14,157
ชลบุรี,8,22,134
ชลบุรี,8,3,126
ชลบุรี,8,19,112
ชลบุรี,8,25,109
ชลบุรี,8,20,81
ชลบุรี,8,26,80
ชลบุรี,8,17,63
ชลบุรี,8,18,59
ชลบุรี,8,23,53
เชียงราย,1,6,30719
เชียงราย,1,1,28891
เชียงราย,1,5,28391
เชียงราย,1,8,2472
เชียงราย,1,26,1752
เชียงราย,1,11,1649
เชียงราย,1,10,1102
เชียงราย,1,9,862
เชียงราย,1,25,676
เชียงราย,1,4,544
เชียงราย,1,21,448
เชียงราย,1,2,283
เชียงราย,1,16,244
เชียงราย,1,7,238
เชียงราย,1,3,140
เชียงราย,1,29,112
เชียงราย,1,18,103
เชียงราย,1,24,95
เชียงราย,1,13,91
เชียงราย,1,19,88
เชียงราย,1,20,74
เชียงราย,1,34,73
เชียงราย,1,12,69
เชียงราย,1,30,64
เชียงราย,1,23,63
เชียงราย,1,14,60
เชียงราย,1,32,59
เชียงราย,1,17,51
เชียงราย,1,22,51
เชียงราย,1,31,44
เชียงราย,1,27,43
เชียงราย,1,28,39
เชียงราย,1,33,19
เชียงราย,1,15,0
เชียงราย,2,10,41603
เชียงราย,2,6,21219
เชียงราย,2,2,20333
เชียงราย,2,13,4074
เชียงราย,2,4,3225
เชียงราย,2,1,1842
เชียงราย,2,26,1267
เชียงราย,2,30,802
เชียงราย,2,11,618
เชียงราย,2,7,602
เชียงราย,2,15,592
เชียงราย,2,9,590
เชียงราย,2,24,572
เชียงราย,2,12,514
เชียงราย,2,3,387
เชียงราย,2,5,379
เชียงราย,2,21,350
เชียงราย,2,22,292
เชียงราย,2,14,253
เชียงราย,2,18,245
เชียงราย,2,19,244
เชียงราย,2,8,229
เชียงราย,2,16,228
เชียงราย,2,29,213
เชียงราย,2,20,183
เชียงราย,2,27,182
เชียงราย,2,31,161
เชียงราย,2,23,142
เชียงราย,2,33,127
เชียงราย,2,25,115
เชียงราย,2,17,102
เชียงราย,2,35,98
เชียงราย,2,34,72
เชียงราย,2,28,55
เชียงราย,2,32,49
เชียงราย,3,12,53202
เชียงราย,3,4,25397
เชียงราย,3,1,17647
เชียงราย,3,8,4521
เชียงราย,3,16,2244
เชียงราย,3,11,2019
เชียงราย,3,27,994
เชียงราย,3,21,749
เชียงราย,3,32,530
เชียงราย,3,26,509
เชียงราย,3,10,459
เชียงราย,3,2,400
เชียงราย,3,5,345
เชียงราย,3,20,309
เชียงราย,3,13,283
เชียงราย,3,3,236
เชียงราย,3,22,233
เชียงราย,3,14,217
เชียงราย,3,9,212
เชียงราย,3,6,194
เชียงราย,3,7,192
เชียงราย,3,28,187
เชียงราย,3,18,176
เชียงราย,3,24,152
เชียงราย,3,31,142
เชียงราย,3,34,115
เชียงราย,3,25,97
เชียงราย,3,15,77
เชียงราย,3,17,71
เชียงราย,3,23,62
เชียงราย,3,19,53
เชียงราย,3,33,43
เชียงราย,3,29,40
เชียงราย,3,30,38
เชียงราย,4,9,62026
เชียงราย,4,1,24897
เชียงราย,4,2,14024
เชียงราย,4,12,2188
เชียงราย,4,10,1378
เชียงราย,4,29,898
เชียงราย,4,5,805
เชียงราย,4,16,563
เชียงราย,4,22,487
เชียงราย,4,8,483
เชียงราย,4,26,474
เชียงราย,4,24,452
เชียงราย,4,4,361
เชียงราย,4,6,358
เชียงราย,4,3,289
เชียงราย,4,19,266
เชียงราย,4,13,259
เชียงราย,4,28,233
เชียงราย,4,11,209
เชียงราย,4,7,195
เชียงราย,4,27,165
เชียงราย,4,33,119
เชียงราย,4,17,95
เชียงราย,4,15,89
เชียงราย,4,30,83
เชียงราย,4,23,75
เชียงราย,4,32,73
เชียงราย,4,25,66
เชียงราย,4,20,64
เชียงราย,4,18,53
เชียงราย,4,14,47
เชียงราย,4,31,33
เชียงราย,4,21,0
เชียงราย,4,34,0
เชียงราย,5,9,40972
เชียงราย,5,5,20736
เชียงราย,5,7,15954
เชียงราย,5,4,5261
เชียงราย,5,10,2646
เชียงราย,5,15,2460
เชียงราย,5,1,1596
เชียงราย,5,8,1261
เชียงราย,5,16,1011
เชียงราย,5,29,723
เชียงราย,5,27,572
เชียงราย,5,24,544
เชียงราย,5,31,510
เชียงราย,5,13,503
เชียงราย,5,14,489
เชียงราย,5,6,446
เชียงราย,5,11,305
เชียงราย,5,21,286
เชียงราย,5,18,213
เชียงราย,5,20,210
เชียงราย,5,17,197
เชียงราย,5,25,189
เชียงราย,5,2,165
เชียงราย,5,3,145
เชียงราย,5,12,144
เชียงราย,5,34,141
เชียงราย,5,30,135
เชียงราย,5,28,121
เชียงราย,5,36,83
เชียงราย,5,26,71
เชียงราย,5,23,69
เชียงราย,5,19,59
เชียงราย,5,33,58
เชียงราย,5,35,57
เชียงราย,5,22,56
เชียงราย,5,32,37
เชียงราย,6,1,23273
เชียงราย,6,12,23081
เชียงราย,6,8,16806
เชียงราย,6,10,2732
เชียงราย,6,11,1960
เชียงราย,6,14,1124
เชียงราย,6,21,740
เชียงราย,6,25,725
เชียงราย,6,6,638
เชียงราย,6,9,399
เชียงราย,6,28,393
เชียงราย,6,2,315
เชียงราย,6,7,307
เชียงราย,6,24,262
เชียงราย,6,32,243
เชียงราย,6,26,188
เชียงราย,6,3,183
เชียงราย,6,27,175
เชียงราย,6,13,148
เชียงราย,6,22,146
เชียงราย,6,16,112
เชียงราย,6,34,105
เชียงราย,6,5,93
เชียงราย,6,30,90
เชียงราย,6,20,89
เชียงราย,6,4,87
เชียงราย,6,15,74
เชียงราย,6,17,63
เชียงราย,6,23,47
เชียงราย,6,18,45
เชียงราย,6,31,39
เชียงราย,6,29,37
เชียงราย,6,19,36
เชียงราย,6,33,30
เชียงราย,7,7,32769
เชียงราย,7,9,19837
เชียงราย,7,1,11472
เชียงราย,7,12,2342
เชียงราย,7,3,1133
เชียงราย,7,2,1087
เชียงราย,7,5,1030
เชียงราย,7,21,799
เชียงราย,7,8,555
เชียงราย,7,27,540
เชียงราย,7,24,482
เชียงราย,7,6,430
เชียงราย,7,10,319
เชียงราย,7,4,266
เชียงราย,7,11,232
เชียงราย,7,19,216
เชียงราย,7,23,215
เชียงราย,7,14,190
เชียงราย,7,30,173
เชียงราย,7,22,171
เชียงราย,7,29,155
เชียงราย,7,20,153
เชียงราย,7,26,141
เชียงราย,7,16,110
เชียงราย,7,18,92
เชียงราย,7,15,85
เชียงราย,7,13,83
เชียงราย,7,25,81
เชียงราย,7,17,80
เชียงราย,7,28,71
เชียงใหม่,1,6,45894
เชียงใหม่,1,9,45120
เชียงใหม่,1,16,21183
เชียงใหม่,1,11,10676
เชียงใหม่,1,20,5373
เชียงใหม่,1,13,4148
เชียงใหม่,1,25,1610
เชียงใหม่,1,10,957
เชียงใหม่,1,12,875
เชียงใหม่,1,1,807
เชียงใหม่,1,7,687
เชียงใหม่,1,4,432
เชียงใหม่,1,15,390
เชียงใหม่,1,5,341
เชียงใหม่,1,26,336
เชียงใหม่,1,2,219
เชียงใหม่,1,14,210
เชียงใหม่,1,17,204
เชียงใหม่,1,23,203
เชียงใหม่,1,29,156
เชียงใหม่,1,8,143
เชียงใหม่,1,21,126
เชียงใหม่,1,22,108
เชียงใหม่,1,24,89
เชียงใหม่,1,35,81
เชียงใหม่,1,33,72
เชียงใหม่,1,31,59
เชียงใหม่,1,19,51
เชียงใหม่,1,18,45
เชียงใหม่,1,34,34
เชียงใหม่,1,27,32
เชียงใหม่,1,30,31
เชียงใหม่,1,28,25
เชียงใหม่,1,32,22
เชียงใหม่,1,3,0
เชียงใหม่,2,6,50127
เชียงใหม่,2,2,32617
เชียงใหม่,2,5,17022
เชียงใหม่,2,14,4416
เชียงใหม่,2,4,2887
เชียงใหม่,2,7,693
เชียงใหม่,2,18,670
เชียงใหม่,2,22,576
เชียงใหม่,2,8,510
เชียงใหม่,2,26,470
เชียงใหม่,2,1,406
เชียงใหม่,2,16,225
เชียงใหม่,2,3,187
เชียงใหม่,2,32,184
เชียงใหม่,2,10,170
เชียงใหม่,2,9,166
เชียงใหม่,2,13,145
เชียงใหม่,2,27,135
เชียงใหม่,2,19,113
เชียงใหม่,2,12,102
เชียงใหม่,2,15,94
เชียงใหม่,2,36,91
เชียงใหม่,2,21,80
เชียงใหม่,2,17,67
เชียงใหม่,2,24,67
เชียงใหม่,2,20,58
เชียงใหม่,2,30,55
เชียงใหม่,2,35,46
เชียงใหม่,2,23,45
เชียงใหม่,2,29,44
เชียงใหม่,2,33,31
เชียงใหม่,2,31,28
เชียงใหม่,2,11,0
เชียงใหม่,2,25,0
เชียงใหม่,2,28,0
เชียงใหม่,2,34,0
เชียงใหม่,3,13,64040
เชียงใหม่,3,8,28624
เชียงใหม่,3,16,12769
เชียงใหม่,3,14,4308
เชียงใหม่,3,2,2568
เชียงใหม่,3,18,2154
เชียงใหม่,3,9,1251
เชียงใหม่,3,12,1028
เชียงใหม่,3,3,494
เชียงใหม่,3,15,487
เชียงใหม่,3,30,399
เชียงใหม่,3,1,339
เชียงใหม่,3,5,315
เชียงใหม่,3,33,308
เชียงใหม่,3,7,267
เชียงใหม่,3,32,244
เชียงใหม่,3,10,240
เชียงใหม่,3,4,201
เชียงใหม่,3,23,197
เชียงใหม่,3,6,187
เชียงใหม่,3,19,185
เชียงใหม่,3,11,182
เชียงใหม่,3,31,144
เชียงใหม่,3,29,137
เชียงใหม่,3,20,114
เชียงใหม่,3,17,90
เชียงใหม่,3,34,90
เชียงใหม่,3,21,86
เชียงใหม่,3,28,78
เชียงใหม่,3,26,77
เชียงใหม่,3,25,62
เชียงใหม่,3,27,35
เชียงใหม่,3,22,0
เชียงใหม่,3,24,0
เชียงใหม่,4,10,37454
เชียงใหม่,4,2,35576
เชียงใหม่,4,4,30520
เชียงใหม่,4,8,4918
เชียงใหม่,4,6,2948
เชียงใหม่,4,13,1444
เชียงใหม่,4,5,563
เชียงใหม่,4,24,536
เชียงใหม่,4,21,497
เชียงใหม่,4,7,477
เชียงใหม่,4,17,417
เชียงใหม่,4,1,390
เชียงใหม่,4,30,356
เชียงใหม่,4,9,333
เชียงใหม่,4,3,320
เชียงใหม่,4,12,243
เชียงใหม่,4,15,234
เชียงใหม่,4,20,169
เชียงใหม่,4,27,169
เชียงใหม่,4,14,159
เชียงใหม่,4,32,142
เชียงใหม่,4,11,122
เชียงใหม่,4,22,111
เชียงใหม่,4,35,105
เชียงใหม่,4,19,98
เชียงใหม่,4,31,87
เชียงใหม่,4,18,86
เชียงใหม่,4,23,86
เชียงใหม่,4,25,80
เชียงใหม่,4,28,77
เชียงใหม่,4,16,67
เชียงใหม่,4,26,44
เชียงใหม่,4,33,44
เชียงใหม่,4,34,39
เชียงใหม่,4,29,0
เชียงใหม่,5,14,41169
เชียงใหม่,5,17,29170
เชียงใหม่,5,6,27940
เชียงใหม่,5,15,4816
เชียงใหม่,5,8,2550
เชียงใหม่,5,5,1761
เชียงใหม่,5,23,1347
เชียงใหม่,5,1,1292
เชียงใหม่,5,16,931
เชียงใหม่,5,11,505
เชียงใหม่,5,10,504
เชียงใหม่,5,4,499
เชียงใหม่,5,7,482
เชียงใหม่,5,2,438
เชียงใหม่,5,13,409
เชียงใหม่,5,9,318
เชียงใหม่,5,34,318
เชียงใหม่,5,27,312
เชียงใหม่,5,24,307
เชียงใหม่,5,18,299
เชียงใหม่,5,3,252
เชียงใหม่,5,12,245
เชียงใหม่,5,25,231
เชียงใหม่,5,35,216
เชียงใหม่,5,26,187
เชียงใหม่,5,19,177
เชียงใหม่,5,21,167
เชียงใหม่,5,20,141
เชียงใหม่,5,30,133
เชียงใหม่,5,31,130
เชียงใหม่,5,22,96
เชียงใหม่,5,28,91
เชียงใหม่,5,33,77
เชียงใหม่,5,29,58
เชียงใหม่,5,32,49
เชียงใหม่,6,1,23576
เชียงใหม่,6,10,17377
เชียงใหม่,6,5,12944
เชียงใหม่,6,13,4532
เชียงใหม่,6,9,1149
เชียงใหม่,6,19,1062
เชียงใหม่,6,11,983
เชียงใหม่,6,21,866
เชียงใหม่,6,2,569
เชียงใหม่,6,6,568
เชียงใหม่,6,25,387
เชียงใหม่,6,3,333
เชียงใหม่,6,8,280
เชียงใหม่,6,12,274
เชียงใหม่,6,4,273
เชียงใหม่,6,15,251
เชียงใหม่,6,14,219
เชียงใหม่,6,16,187
เชียงใหม่,6,20,166
เชียงใหม่,6,33,161
เชียงใหม่,6,7,153
เชียงใหม่,6,22,151
เชียงใหม่,6,26,122
เชียงใหม่,6,30,117
เชียงใหม่,6,32,113
เชียงใหม่,6,36,109
เชียงใหม่,6,29,77
เชียงใหม่,6,23,61
เชียงใหม่,6,28,60
เชียงใหม่,6,27,59
เชียงใหม่,6,31,58
เชียงใหม่,6,18,55
เชียงใหม่,6,17,49
เชียงใหม่,6,24,40
เชียงใหม่,6,35,34
เชียงใหม่,6,34,28
เชียงใหม่,7,12,27477
เชียงใหม่,7,16,19729
เชียงใหม่,7,7,18925
เชียงใหม่,7,17,8719
เชียงใหม่,7,15,3440
เชียงใหม่,7,4,1032
เชียงใหม่,7,5,645
เชียงใหม่,7,3,633
เชียงใหม่,7,2,613
เชียงใหม่,7,6,576
เชียงใหม่,7,1,537
เชียงใหม่,7,27,520
เชียงใหม่,7,8,478
เชียงใหม่,7,11,457
เชียงใหม่,7,18,332
เชียงใหม่,7,13,299
เชียงใหม่,7,21,273
เชียงใหม่,7,14,269
เชียงใหม่,7,32,237
เชียงใหม่,7,9,202
เชียงใหม่,7,22,163
เชียงใหม่,7,29,144
เชียงใหม่,7,23,132
เชียงใหม่,7,26,131
เชียงใหม่,7,10,130
เชียงใหม่,7,24,109
เชียงใหม่,7,25,99
เชียงใหม่,7,20,98
เชียงใหม่,7,30,89
เชียงใหม่,7,19,72
เชียงใหม่,7,31,52
เชียงใหม่,7,28,0
เชียงใหม่,8,8,52165
เชียงใหม่,8,4,39221
เชียงใหม่,8,9,29556
เชียงใหม่,8,2,2508
เชียงใหม่,8,1,1864
เชียงใหม่,8,29,1246
เชียงใหม่,8,24,868
เชียงใหม่,8,18,790
เชียงใหม่,8,6,677
เชียงใหม่,8,13,594
เชียงใหม่,8,26,581
เชียงใหม่,8,5,538
เชียงใหม่,8,7,500
เชียงใหม่,8,28,459
เชียงใหม่,8,3,440
เชียงใหม่,8,14,362
เชียงใหม่,8,23,317
เชียงใหม่,8,10,242
เชียงใหม่,8,16,231
เชียงใหม่,8,11,175
เชียงใหม่,8,33,139
เชียงใหม่,8,17,132
เชียงใหม่,8,25,131
เชียงใหม่,8,31,125
เชียงใหม่,8,12,119
เชียงใหม่,8,21,106
เชียงใหม่,8,15,86
เชียงใหม่,8,22,73
เชียงใหม่,8,32,57
เชียงใหม่,8,27,55
เชียงใหม่,8,20,54
เชียงใหม่,8,19,52
เชียงใหม่,8,30,0
เชียงใหม่,9,9,39390
เชียงใหม่,9,10,32532
เชียงใหม่,9,15,17558
เชียงใหม่,9,1,4692
เชียงใหม่,9,12,1574
เชียงใหม่,9,8,1242
เชียงใหม่,9,5,1064
เชียงใหม่,9,14,1055
เชียงใหม่,9,29,979
เชียงใหม่,9,30,946
เชียงใหม่,9,16,852
เชียงใหม่,9,3,708
เชียงใหม่,9,2,667
เชียงใหม่,9,6,643
เชียงใหม่,9,4,625
เชียงใหม่,9,7,481
เชียงใหม่,9,25,452
เชียงใหม่,9,21,450
เชียงใหม่,9,13,303
เชียงใหม่,9,24,231
เชียงใหม่,9,20,220
เชียงใหม่,9,18,206
เชียงใหม่,9,19,188
เชียงใหม่,9,22,188
เชียงใหม่,9,26,175
เชียงใหม่,9,28,160
เชียงใหม่,9,34,157
เชียงใหม่,9,23,114
เชียงใหม่,9,17,111
เชียงใหม่,9,31,108
เชียงใหม่,9,33,95
เชียงใหม่,9,27,79
เชียงใหม่,9,32,74
เชียงใหม่,9,11,0
ตรัง,1,4,39416
ตรัง,1,14,38332
ตรัง,1,7,17371
ตรัง,1,16,10017
ตรัง,1,15,2664
ตรัง,1,24,2491
ตรัง,1,1,1707
ตรัง,1,10,1395
ตรัง,1,13,1380
ตรัง,1,11,1338
ตรัง,1,3,958
ตรัง,1,9,760
ตรัง,1,21,706
ตรัง,1,5,690
ตรัง,1,22,618
ตรัง,1,17,594
ตรัง,1,18,470
ตรัง,1,26,412
ตรัง,1,6,319
ตรัง,1,25,303
ตรัง,1,35,303
ตรัง,1,30,282
ตรัง,1,19,281
ตรัง,1,31,281
ตรัง,1,8,264
ตรัง,1,34,251
ตรัง,1,2,248
ตรัง,1,28,226
ตรัง,1,23,217
ตรัง,1,32,161
ตรัง,1,29,149
ตรัง,1,27,125
ตรัง,1,36,105
ตรัง,1,33,78
ตรัง,1,20,52
ตรัง,1,12,0
ตรัง,2,10,47640
ตรัง,2,2,33457
ตรัง,2,4,12268
ตรัง,2,14,10427
ตรัง,2,22,3468
ตรัง,2,11,2848
ตรัง,2,1,1113
ตรัง,2,3,1028
ตรัง,2,23,936
ตรัง,2,6,879
ตรัง,2,9,786
ตรัง,2,27,758
ตรัง,2,5,616
ตรัง,2,7,486
ตรัง,2,17,486
ตรัง,2,30,452
ตรัง,2,15,401
ตรัง,2,21,315
ตรัง,2,28,269
ตรัง,2,19,264
ตรัง,2,20,230
ตรัง,2,8,217
ตรัง,2,24,215
ตรัง,2,12,205
ตรัง,2,29,157
ตรัง,2,16,148
ตรัง,2,25,119
ตรัง,2,36,117
ตรัง,2,31,84
ตรัง,2,35,79
ตรัง,2,26,71
ตรัง,2,32,49
ตรัง,2,18,48
ตรัง,2,34,31
ตรัง,2,33,29
ตรัง,2,13,0
ตรัง,3,11,51602
ตรัง,3,9,31019
ตรัง,3,6,13038
ตรัง,3,27,5183
ตรัง,3,5,3541
ตรัง,3,13,2879
ตรัง,3,1,2158
ตรัง,3,20,1267
ตรัง,3,10,998
ตรัง,3,12,894
ตรัง,3,16,754
ตรัง,3,3,670
ตรัง,3,29,567
ตรัง,3,8,533
ตรัง,3,7,509
ตรัง,3,33,483
ตรัง,3,31,460
ตรัง,3,26,350
ตรัง,3,35,326
ตรัง,3,22,321
ตรัง,3,30,311
ตรัง,3,4,302
ตรัง,3,18,301
ตรัง,3,37,281
ตรัง,3,14,260
ตรัง,3,28,224
ตรัง,3,25,211
ตรัง,3,36,191
ตรัง,3,34,161
ตรัง,3,19,98
ตรัง,3,17,92
ตรัง,3,23,81
ตรัง,3,24,77
ตรัง,3,2,0
ตรัง,3,15,0
ตรัง,3,21,0
ตรัง,3,32,0
ตราด,1,9,36744
ตราด,1,3,30642
ตราด,1,4,23417
ตราด,1,7,6310
ตราด,1,12,5667
ตราด,1,13,2861
ตราด,1,2,2786
ตราด,1,19,1997
ตราด,1,1,1433
ตราด,1,10,1409
ตราด,1,21,548
ตราด,1,5,513
ตราด,1,15,498
ตราด,1,23,439
ตราด,1,14,436
ตราด,1,11,400
ตราด,1,6,324
ตราด,1,24,275
ตราด,1,22,256
ตราด,1,17,235
ตราด,1,18,225
ตราด,1,16,189
ตราด,1,20,148
ตราด,1,25,132
ตราด,1,8,0
ตาก,1,10,43787
ตาก,1,1,19664
ตาก,1,2,16142
ตาก,1,3,10954
ตาก,1,8,9217
ตาก,1,6,2298
ตาก,1,4,757
ตาก,1,13,680
ตาก,1,5,595
ตาก,1,20,584
ตาก,1,17,507
ตาก,1,11,363
ตาก,1,21,279
ตาก,1,19,271
ตาก,1,7,229
ตาก,1,22,224
ตาก,1,12,218
ตาก,1,18,163
ตาก,1,23,145
ตาก,1,25,138
ตาก,1,14,79
ตาก,1,16,76
ตาก,1,24,64
ตาก,1,15,53
ตาก,1,9,0
ตาก,2,4,32929
ตาก,2,3,18314
ตาก,2,5,17164
ตาก,2,8,2116
ตาก,2,16,1603
ตาก,2,24,1012
ตาก,2,13,946
ตาก,2,10,641
ตาก,2,25,588
ตาก,2,1,467
ตาก,2,23,451
ตาก,2,2,445
ตาก,2,6,366
ตาก,2,19,343
ตาก,2,12,322
ตาก,2,21,191
ตาก,2,17,187
ตาก,2,11,171
ตาก,2,15,169
ตาก,2,7,167
ตาก,2,14,150
ตาก,2,18,149
ตาก,2,22,96
ตาก,2,26,96
ตาก,2,20,73
ตาก,2,27,63
ตาก,2,29,56
ตาก,2,28,41
ตาก,2,9,0
ตาก,2,30,0
ตาก,3,3,20784
ตาก,3,9,19244
ตาก,3,8,13238
ตาก,3,11,9916
ตาก,3,5,4389
ตาก,3,7,3047
ตาก,3,2,2072
ตาก,3,6,1444
ตาก,3,1,721
ตาก,3,23,704
ตาก,3,27,580
ตาก,3,10,498
ตาก,3,12,316
ตาก,3,21,292
ตาก,3,18,283
ตาก,3,17,253
ตาก,3,22,252
ตาก,3,16,238
ตาก,3,13,237
ตาก,3,19,202
ตาก,3,25,181
ตาก,3,15,160
ตาก,3,14,131
ตาก,3,24,125
ตาก,3,26,110
ตาก,3,20,109
ตาก,3,4,0
นครนายก,1,9,60943
นครนายก,1,7,35005
นครนายก,1,16,21038
นครนายก,1,11,17066
นครนายก,1,1,3439
นครนายก,1,18,1912
นครนายก,1,10,1707
นครนายก,1,15,1151
นครนายก,1,14,1134
นครนายก,1,8,1057
นครนายก,1,6,815
นครนายก,1,4,569
นครนายก,1,5,519
นครนายก,1,2,362
นครนายก,1,12,332
นครนายก,1,17,320
นครนายก,1,20,265
นครนายก,1,21,249
นครนายก,1,3,240
นครนายก,1,19,215
นครนายก,1,13,159
