year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,votes,vote_pct,rank
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_153,พลังประชาธิปไตย,153,51,0,44
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_241,ไทยเป็นหนึ่ง,241,44,0,45
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_178,ไทยธรรม,178,37,0,47
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_230,ไทยสมาร์ท,230,36,0,48
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_173,เส้นด้าย,173,32,0,49
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_236,เสมอภาค,236,31,0,50
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_217,เพื่ออนาคตไทย,217,27,0,51
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_155,พลังไทยรักชาติ,155,26,0,52
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_232,พลังสยาม,232,25,0,53
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_157,ช่วยชาติ,157,24,0,54
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_172,ประชาภิวัฒน์,172,22,0,55
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_209,สามัญชน,209,21,0,56
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_249,ชาติรุ่งเรือง,249,21,0,57
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_129,ถิ่นกาขาวชาววิไล,129,18,0,58
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_186,รวมแผ่นดิน,186,17,0,59
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_235,แนวทางใหม่,235,16,0,60
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_240,ราษฎร์วิถี,240,12,0,62
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_189,คลองไทย,189,12,0,63
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_184,พลังปวงชนไทย,184,11,0,64
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_154,ภราดรภาพ,154,10,0,65
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_198,พลังสังคม,198,7,0,67
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_229,รวมไทยสร้างชาติ,229,39075,39.0,1
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_164,ก้าวไกล,164,30550,30.0,2
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_63,ภูมิใจไทย,63,7248,7.0,3
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_34,เพื่อไทย,34,7199,7.0,4
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_1,ประชาธิปัตย์,1,3570,3.0,5
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_109,ประชาธิปไตยใหม่,109,2163,2.0,6
