year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,candidate_id,votes,vote_pct,rank,eligible_voters,total_votes,invalid_votes
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_3,ชาติไทยพัฒนา,3,v62_cand_3,707,0.77,9,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_7,รวมพลังประชาชาติไทย,7,v62_cand_7,475,0.52,10,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_10,เพื่อชาติ,10,v62_cand_10,439,0.48,11,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_12,ประชานิยม,12,v62_cand_12,406,0.44,12,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_9,พลังไทยรักไทย,9,v62_cand_9,388,0.42,13,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_15,ประชาภิวัฒน์,15,v62_cand_15,349,0.38,14,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_1,ภราดรภาพ,1,v62_cand_1,338,0.37,15,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_22,ครูไทยเพื่อประชาชน,22,v62_cand_22,338,0.37,16,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_11,รักษ์ผืนป่าประเทศไทย,11,v62_cand_11,295,0.32,17,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_24,เพื่อสหกรณ์ไทย,24,v62_cand_24,281,0.31,18,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_6,ประชาชนปฏิรูป,6,v62_cand_6,248,0.27,19,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_8,ชาติพัฒนา,8,v62_cand_8,227,0.25,20,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_5,แผ่นดินธรรม,5,v62_cand_5,225,0.25,21,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_26,เครือข่ายชาวนาแห่งประเทศไทย,26,v62_cand_26,165,0.18,22,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_20,ประชาธิปไตยใหม่,20,v62_cand_20,157,0.17,23,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_25,พลังประชาธิปไตย,25,v62_cand_25,149,0.16,24,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_29,ผึ้งหลวง,29,v62_cand_29,138,0.15,25,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_27,พลังปวงชนไทย,27,v62_cand_27,133,0.15,26,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_28,ไทรักธรรม,28,v62_cand_28,71,0.08,27,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_18,เพื่อนไทย,18,v62_cand_18,0,0.00,28,0,91596,0
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,v62_19,อนาคตใหม่,19,v62_cand_19,0,0.00,29,0,91596,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_3,พลังประชารัฐ,3,v62_cand_3,31127,35.80,1,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_2,ประชาธิปัตย์,2,v62_cand_2,21071,24.23,2,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_12,เพื่อไทย,12,v62_cand_12,18522,21.30,3,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_17,อนาคตใหม่,17,v62_cand_17,8966,10.31,4,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_13,เสรีรวมไทย,13,v62_cand_13,981,1.13,5,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_1,เพื่อชาติ,1,v62_cand_1,902,1.04,6,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_9,ภูมิใจไทย,9,v62_cand_9,849,0.98,7,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_23,ครูไทยเพื่อประชาชน,23,v62_cand_23,687,0.79,8,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_21,เศรษฐกิจใหม่,21,v62_cand_21,676,0.78,9,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_4,พลังไทยรักไทย,4,v62_cand_4,541,0.62,10,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_11,รวมพลังประชาชาติไทย,11,v62_cand_11,510,0.59,11,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_32,ผึ้งหลวง,32,v62_cand_32,297,0.34,12,0,86951,0
