year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,candidate_id,votes,vote_pct,rank,eligible_voters,total_votes,invalid_votes
2569,pv_17_z_1,pv_17,,,1,ely_y2569_id_1116011c-1ef3-4cca-a186-c1b9f7984ede,1116011c-1ef3-4cca-a186-c1b9f7984ede,46,ely_y2569_id_4969c4e5-d9ec-4377-9c6f-3265850380fc,30275,27.90682668731449,2,167173,108622,6676
2569,pv_17_z_1,pv_17,,,1,ely_y2569_id_2d8a1c84-0bc8-4377-965d-c020a0097c27,2d8a1c84-0bc8-4377-965d-c020a0097c27,9,ely_y2569_id_f8666ffe-e20b-4a15-8ecb-9a71ce75e141,12980,11.96467746990395,3,167173,108622,6676
2569,pv_17_z_1,pv_17,,,1,ely_y2569_id_d7155f6d-736d-42c0-8bc0-00ee6e1970dc,d7155f6d-736d-42c0-8bc0-00ee6e1970dc,27,ely_y2569_id_ad8df4b6-4ba6-4122-9108-c9fc2960866d,1454,1.3402651033313053,4,167173,108622,6676
2569,pv_17_z_1,pv_17,,,1,ely_y2569_id_03347cbc-6089-474c-a3f6-484ae981c9a6,03347cbc-6089-474c-a3f6-484ae981c9a6,43,ely_y2569_id_8b414a29-0931-4860-b984-447e0d7e6392,983,0.9061077005327876,5,167173,108622,6676
2569,pv_17_z_1,pv_17,,,1,ely_y2569_id_a62aca08-91b7-4f3f-ba8f-cb9e884a3799,a62aca08-91b7-4f3f-ba8f-cb9e884a3799,42,ely_y2569_id_43a50900-c261-4403-a69e-767f3e9e619e,933,0.8600188042696754,6,167173,108622,6676
2569,pv_24_z_4,pv_24,,,4,ely_y2569_id_a62aca08-91b7-4f3f-ba8f-cb9e884a3799,a62aca08-91b7-4f3f-ba8f-cb9e884a3799,42,ely_y2569_id_204f5207-cab9-4646-a868-ca8fd060596d,45411,42.15612554655081,1,151927,107721,6242
2569,pv_24_z_4,pv_24,,,4,ely_y2569_id_1116011c-1ef3-4cca-a186-c1b9f7984ede,1116011c-1ef3-4cca-a186-c1b9f7984ede,46,ely_y2569_id_be3f21f7-7f17-4241-bd69-47a5566b7fbd,34283,31.825735000603412,2,151927,107721,6242
2569,pv_24_z_4,pv_24,,,4,ely_y2569_id_2d8a1c84-0bc8-4377-965d-c020a0097c27,2d8a1c84-0bc8-4377-965d-c020a0097c27,9,ely_y2569_id_83575515-9a44-41b0-be32-179c7c289530,19442,18.04847708431968,3,151927,107721,6242
2569,pv_24_z_4,pv_24,,,4,ely_y2569_id_013c219e-e197-416d-84ea-00ba9c35465e,013c219e-e197-416d-84ea-00ba9c35465e,37,ely_y2569_id_14fb2386-9edc-41b0-b5ce-5265a1c44eb9,4240,3.9360941691963496,4,151927,107721,6242
2569,pv_24_z_4,pv_24,,,4,ely_y2569_id_d7155f6d-736d-42c0-8bc0-00ee6e1970dc,d7155f6d-736d-42c0-8bc0-00ee6e1970dc,27,ely_y2569_id_0d0fee56-6c68-48e8-bd15-b103aaeb5172,2444,2.268824091866952,5,151927,107721,6242
2569,pv_24_z_4,pv_24,,,4,ely_y2569_id_b6a2dc38-6f7d-4865-a6e0-a1b60a2edf32,,30,ely_y2569_id_88769092-1b56-4f3e-ac7a-11cc4a6e8b38,1129,1.048077904958179,6,151927,107721,6242
