year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,votes,vote_pct,rank
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_63,,63,7248,7.0,3
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_34,,34,7199,7.0,4
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_1,,1,3570,3.0,5
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_109,,109,2163,2.0,6
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_192,192,192,1657,1.0,7
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_242,242,242,956,0,8
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_145,145,145,808,0,9
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_118,,118,651,0,10
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_234,234,234,633,0,11
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_170,170,170,514,0,12
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_45,,45,464,0,13
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_227,227,227,440,0,14
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_185,185,185,294,0,15
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_187,187,187,260,0,16
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_244,244,244,256,0,17
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_205,205,205,230,0,18
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_221,221,221,211,0,19
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_226,226,226,207,0,20
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_250,250,250,200,0,21
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_149,149,149,195,0,22
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_252,252,252,156,0,23
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_183,183,183,140,0,24
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_203,203,203,139,0,25
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_206,206,206,107,0,26
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_247,247,247,104,0,27
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_245,245,245,96,0,28
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_175,175,175,95,0,29
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_238,238,238,95,0,30
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_237,237,237,80,0,33
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_246,246,246,74,0,34
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_181,181,181,61,0,35
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_180,180,180,60,0,36
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_178,178,178,55,0,37
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_243,243,243,55,0,38
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_172,172,172,43,0,39
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_204,204,204,36,0,40
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_211,211,211,35,0,41
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_241,241,241,35,0,42
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_228,228,228,34,0,43
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_232,232,232,33,0,44
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_235,235,235,32,0,45
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_188,188,188,29,0,46
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_236,236,236,26,0,47
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_153,153,153,26,0,48
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_230,230,230,26,0,49
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_133,133,133,25,0,50
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_173,173,173,18,0,53
